ISBN,name,writer,pagenum,price,date,tags
9787559609519,蓝色小药丸,[瑞士]弗雷德里克·佩特斯,208,45.00元,2017-11,爱情;HIV;艾滋病;漫画;小说;后浪漫;科普;弗雷德里克·佩特斯
9787550295353,战俘营回忆录：归来,[法]塔蒂/Tardi,140,118.00元,2017-5,漫画;二战;战争;后浪漫;法国;欧美漫画;欧美;后浪
9787213083426,创造自然,[德]安德烈娅·武尔夫,480,88.00元,2017-10,自然;科普;自然文学;洪堡;博物;历史;博物学;传记
9787514218763,利维坦之书,[美]彼得·布雷瓦,168,110.00元,2017-11,漫画;利维坦;绘本&漫画;美国;后浪漫;后浪;小说;图像小说
9787535681850,我的妈妈去旅行了,[法]让·勒尼奥编/埃米尔·布拉沃绘,120,45.00元,2018-1,童年;绘本;绘本&漫画;图像小说;漫画;后浪;儿童文学;后浪漫
9787550295650,全民审判,[法]马克-安托万·马修,128,68.00元,2017-9,黑色幽默;漫画;法国漫画;法国;读书;上帝本人;欧美漫画;后浪
9787550287600,伊比库斯的预言,[法]帕斯卡尔·拉巴泰,536,128.00元,2016-12,漫画;法国;文学;人性;后浪;后浪漫;绘本/漫画;漫畫及图像小说
9787550290358,方向,[法]马克-安托万·马修,232,99.80元,2017-4,漫画;哲学;烧脑;法国;外国文学;读书;绘本;闲时翻阅
9787210096177,当自然赋予科技灵感,[法]玛特·富尼耶,160,128.00元,2017-10,科普;自然科学;自然科学相关;自然;仿生;科技史;设计;后浪
9787514219098,星际特工4,[法]克里斯坦编/梅齐埃绘,216,128.00,2017-12,科幻;漫画;后浪;星际特工;已买;图像小说;后浪漫;法国
9787559605924,这里,[美]理查德·麦奎尔,312,138.00元,2017-10,漫画;绘本;漫画/绘本;图像小说;小说;欧美漫画;后浪漫;美国
9787550295483,海狼,[法]里夫·雷布斯编绘,136,78.00元,2017-3,漫画;海狼;小说;欧美漫画;后浪漫;插畫．繪本．圖文書;法国;信仰
9787559602626,遗产,[以]露图·莫丹,224,68.00元,2017-8,漫画;以色列;绘本;外国文学;图像小说;欧美漫画;遗产;后浪
9787550293243,梭罗：再见瓦尔登湖,[法]勒罗伊(编)/[法]达恩(绘),88,68.00元,2017-3,漫画;梭罗;法国;后浪漫;欧美漫画;人物传记;自由;后浪
9787550281202,拉戈·云奇1：继承者&W集团,[比利时]让·范阿姆编/菲利普·弗朗克绘,104,49.80元,2016-9,漫画;后浪漫;后浪;法国;法国漫画;商战;2016;漫畫及图像小说
9787550290525,超人：钢铁之躯的15个故事,[美]杰里·西格尔(JerrySiegel)等编/乔·舒斯特(JoeShuster)等绘,320,149.80元,2017-1,漫画;DC;美漫;超人;后浪;超级英雄;欧美漫画;后浪漫
9787535681546,漫画神话：奥德赛,[法]贝亚特丽斯·博泰编/埃米莉·阿雷尔绘,96,80.00元,2017-12,希腊神话;后浪漫;图像小说;后浪;荷马史诗;神话;漫画;奥赛德
9787514218749,七海游侠：摩羯座下,[意]雨果·普拉特/HugoPratt,136,110.00元,2017-11,漫画;后浪漫;七海游侠;后浪;欧美漫画;图像小说;雨果·普拉特;漫畫及图像小说
9787550277441,南京,[美]黄艺峰（EthanYoung）编绘,216,68.00元,2016-8,漫画;历史;后浪漫;二战;中国;后浪;抗日战争;南京
9787550291119,星际迷航：蓄势待发,[美]罗伯托·奥奇艾里克斯·库兹曼著/[美]迈克·约翰逊蒂姆·琼斯编/[意]戴维·梅西纳绘,104,68.00元,2016-12,漫画;星际迷航;美漫;后浪;美国;后浪漫;IDW;读书
9787550277427,战俘营回忆录：1680天,[法]雅克·塔蒂/Tardi,188,128.00元,2016-7,二战;漫画;历史;战争;法国;后浪;回忆录;后浪漫
